,name,number,addresse,website
0,Saxs Tank GmbH,+49 8936039149,"Hauptstrasse 1b, DE-85386 Eching",
1,MIXACO Dr. Herfeld GmbH & Co KG,+49 239296440,"Niederheide 2, DE-58809 Neuenrade",http://www.mixaco.com.ky.to/
2,GLA-WEL GmbH,+49 5422943901,"Maschweg 80, DE-49324 Melle",http://www.gla-wel.de/
3,IMH GmbH,+36 703587360,"Fasadenweg 4, DE-55237 Bornheim",http://www.imhkft.hu/
4,Industriepark Troisdorf GmbH,+49 2241888620,"Poststrasse 105, DE-53840 Troisdorf",https://www.iptro.de/
5,acadon AG,+49 21519696853,"Königsberger Strasse 115, DE-47809 Krefeld",https://www.acadon.de/
6,ESSER-WERKE GmbH & Co. KG,+49 29028960,"Zum Puddelhammer 25, DE-59581 Warstein",http://www.esser-werke.de/
7,Seilerei Voigt Seil- und Hebetechnik GmbH,+49 342433020,"Brückenstrasse 2, DE-04849 Bad Düben",http://www.seilerei-voigt.de/
8,Habermann Aurum Pumpen GmbH,+49 2348935700,"Hapener Heide 14, DE-44805 Bochum",http://www.habermann-aurum-pumpen.de/
9,Ferreira Gebäudeservice,+49 6995116630,"Vilbeler Landstrasse 36, DE-60386 Frankfurt",http://www.sferreira.de/
10,ThermoTEC Weilburg GmbH & Co. KG,+49 647162930,"Friedenbachstrasse 18, DE-35781 Weilburg",http://www.ttwe.de/
11,HEINKEL Process Technology GmbH,+49 714396920,"Ferdinand-Porsche-Strasse 8, DE-74354 Besigheim",https://www.heinkel.de/
12,Diasa Industrial GmbH,+49 88414869074,"Michaelstrasse 3, DE-82418 Murnau",http://diasaindustrial.de/
13,OMNILAB-LABORZENTRUM GmbH & Co. KG,+49 42117599118,"Robert-Hooke-Strasse 8, DE-28359 Bremen",http://www.omnilab.de/
14,ABEL GmbH,+49 41558180,"Abel-Twiete 1, DE-21514 Büchen",http://www.abelpumps.com/
15,IBG Monforts GmbH & Co.,+49 216686820,"Hanns-Martin-Schleyer-Strasse 2, DE-41199 Mönchengladbach",http://www.ibg-monforts.com/
16,NEUHAUS NEOTEC Maschinen- und Anlagenbau GmbH,+49 4072771500,"Dieselstrasse 5-9, DE-21465 Reinbek",http://www.neuhaus-neotec.de/
17,Metalltechnik GmbH,+49 7622667000,"Fabrikstrasse 1, DE-79650 Schopfheim",http://www.metalltechnikgmbh.de/
18,Leistritz Extrusionstechnik GmbH,+49 9114306550,"Markgrafenstrasse 36-39, DE-90459 Nürnberg",http://www.leistritz.com/
19,Lodax GmbH,+49 62529399861,"Scarrastrasse 12, DE-68307 Mannheim",http://lodax.de/
20,Heckel Präzisionsteile GmbH,+49 76345250,"Beiersdorfstrasse 10, DE-79423 Heitersheim",http://www.heckeln.de/
21,Lorenz Kunststofftechnik GmbH,+49 540783220,"Hansastrasse 75, DE-49134 Wallenhorst",http://www.lomix.de/
22,vombaur GmbH & Co KG,+49 202246610,"Marktstrasse 34, DE-42369 Wuppertal",http://www.vombaur.de/
23,QSIL GmbH Quarzschmelze Ilmenau,+49 367764150,"Gewerbering 8, DE-98704 Langewiesen",http://www.qsil.de/
24,Günter Schulz GmbH & Co. KG,+49 344646630,"Lohweg 4 A, DE-06632 Balgstädt",http://www.feuerungsbau.com/
25,Respirex International Ltd,+44 1737778600,"Kingsfield Business Centre, GB-RH1 4DP Redhill",https://www.respirexinternational.com/
26,WIS Weggenmann Industrieservice,+49 7525923220,"Hasengärtlestrasse 46/1, DE-88326 Aulendorf",http://www.weggenmann.de/
27,Netter GmbH,+49 613429010,"Fritz-Lenges-Strasse 3, DE-55252 Mainz-Kastel",http://www.nettervibration.com/
28,Wolfgang Mehner GmbH,+49 376170090,"Turnhallenstrasse 20, DE-08412 Werdau",http://www.mehner-gmbh.de/
29,Barriquand Technologies Thermiques,+43 477442220,"9 a 13, rue Saint-Claude, FR-42334 Roanne",http://www.barriquand.com/
30,Wernert-Pumpen GmbH,+49 20837580,"Oberhausener Strasse 67-79, DE-45476 Mülheim",http://www.wernert.de/
31,RODIAS GmbH,+49 6201503100,"Eisleber Str. 4, DE-69469 Weinheim",https://www.rodias.de/
32,IBG Technology Hansestadt Lübeck GmbH,+49 239296890,"An der Dänischburg 25, DE-23569 Lübeck",http://www.goeke-group.com/
33,Giesserei Albbruck GmbH,+49 7753920310,"Alte Landstrasse 7, DE-79774 Albbruck",https://www.giesserei-albbruck.de/
34,Schuster GmbH,+49 274592190,"Industriestrasse 2, DE-57555 Brachbach",http://www.schuster-gmbh.de/
35,ASP,+33 383228855,"840 Chemin Des Montants, FR-54690 Eulmont",http://www.asp-protection.com/
36,Carl Spaeter GmbH,+49 20328180,"Philosophenweg 17, DE-47051 Duisburg",http://www.spaeter-duisburg.de/954.0.html
37,Pulcra Chemicals GmbH,+49 81716280,"Isardamm 79-83, DE-82538 Geretsried",http://www.pulcra-chemicals.com/
38,HORN GmbH & Co KG,+49 46186960,"Munketoft 42, DE-24937 Flensburg",http://www.tecalemit.de/
39,ULBRICH Bond & Seal GmbH,+49 1717629185,"Königstrasse 10c, DE-70173 Stuttgart",https://www.ulbrich-group.com/
40,IMPAG AG,+41 434992500,"Räffelstrasse 12, CH-8045 Zürich",https://www.impag.ch/
41,CHEMIA BRUGG AG,+41 564606260,"Aarauerstrasse 51, CH-5200 Brugg",http://www.chemia.ch/
42,Büchi AG,+41 449055111,"Gschwaderstrasse 12, CH-8610 Uster",http://www.buchiglas.com/
43,Wernert-Pumpen GmbH,+49 3433852224,"Grimmaer Strasse 10, DE-04552 Borna",http://www.wernert.de/
44,Wernert-Pumpen GmbH,+49 93741021,"Hauptstrasse 32, DE-63933 Mönchberg",http://www.wernert.de/
45,Wernert-Pumpen GmbH,+49 212316995,"Deller Strasse 41a, DE-42719 Solingen",http://www.wernert.de/
46,Fischer Maschinen- und Apparatebau GmbH,+43 225472212,"Linke Bahnzeile 22, AT-2483 Ebreichsdorf",http://www.fischer-heatexchanger.com/
47,VWR International,+41 447451313,"Lerzenstrasse 16/18, CH-8953 Dietikon",https://ch.vwr.com/
48,Treibacher Industrie AG,+43 42625050,"Auer-von-Welsbach-Straße 1, AT-9330 Althofen",http://www.treibacher.com/
49,Batrec Industrie AG,+41 336578500,"Niesenstrasse 44, CH-3752 Wimmis",http://www.batrec.ch/
50,Saphirwerk AG,+41 323742585,"Erlenstrasse 36, CH-2555 Brügg",http://www.saphirwerk.com/
51,Bartelt Gesellschaft m.b.H.,+43 3164753280,"Neufeldweg 42, AT-8010 Graz",http://www.bartelt.at/
